trick,side,task,run,passed,grade_reason,infra_error,timeout,duration_min,cost_usd,turns,input_tokens,output_tokens,cache_read_tokens,models,permission_denials,files_changed,insertions,deletions,extra,started_at
d01,with,t2-failing-tests,1,True,PASS t2,,False,0.75,0.6227,15,18,3209,247194,claude-haiku-4-5-20251001|claude-opus-5[1m],2,2,4,1,,2026-09-15T15:54:46
d01,without,t1-flag-bug,1,True,PASS t1,,False,1.17,0.636,22,34,4699,420828,claude-haiku-4-5-20251001|claude-opus-5[1m],3,2,6,0,,2026-09-15T15:54:46
d01,with,t1-flag-bug,1,True,PASS t1,,False,1.61,0.8039,30,42,7049,567125,claude-haiku-4-5-20251001|claude-opus-5[1m],5,2,4,0,,2026-09-15T15:54:46
d01,without,t2-failing-tests,1,True,PASS t2,,False,0.75,0.4342,15,14,3399,191325,claude-haiku-4-5-20251001|claude-opus-5[1m],2,2,10,1,,2026-09-15T15:55:41
d01,with,t3-summary-feature,1,True,PASS t3,,False,1.05,0.5257,25,20,5294,307205,claude-haiku-4-5-20251001|claude-opus-5[1m],2,9,54,10,,2026-09-15T15:56:05
d01,without,t3-summary-feature,1,True,PASS t3,,False,1.14,0.5694,28,24,5680,380842,claude-haiku-4-5-20251001|claude-opus-5[1m],4,9,56,10,,2026-09-15T15:56:33
d01,with,t1-flag-bug,2,True,PASS t1,,False,1.23,0.5418,24,40,5090,541820,claude-haiku-4-5-20251001|claude-opus-5[1m],8,4,4,0,,2026-09-15T15:56:34
d01,without,t1-flag-bug,2,True,PASS t1,,False,1.16,0.4831,20,36,4676,471803,claude-haiku-4-5-20251001|claude-opus-5[1m],6,4,7,1,,2026-09-15T15:57:19
d01,without,t2-failing-tests,2,True,PASS t2,,False,0.71,0.4453,15,16,3004,234544,claude-haiku-4-5-20251001|claude-opus-5[1m],1,2,10,1,,2026-09-15T15:58:01
d01,with,t2-failing-tests,2,True,PASS t2,,False,0.83,0.3991,12,20,3491,282018,claude-haiku-4-5-20251001|claude-opus-5[1m],2,2,11,0,,2026-09-15T15:57:53
d01,with,t3-summary-feature,2,True,PASS t3,,False,1.08,0.5594,24,24,5061,389837,claude-haiku-4-5-20251001|claude-opus-5[1m],3,9,54,10,,2026-09-15T15:58:36
d01,without,t3-summary-feature,2,True,PASS t3,,False,1.11,0.5224,26,24,5425,358861,claude-haiku-4-5-20251001|claude-opus-5[1m],3,9,54,10,,2026-09-15T15:58:52
d01,with,t1-flag-bug,3,True,PASS t1,,False,1.42,0.5499,26,34,6110,473856,claude-haiku-4-5-20251001|claude-opus-5[1m],5,2,8,4,,2026-09-15T15:58:53
d01,without,t1-flag-bug,3,True,PASS t1,,False,1.05,0.4263,22,32,4503,394635,claude-haiku-4-5-20251001|claude-opus-5[1m],6,2,6,0,,2026-09-15T15:59:50
d01,with,t2-failing-tests,3,True,PASS t2,,False,0.92,0.5326,13,24,3583,400903,claude-haiku-4-5-20251001|claude-opus-5[1m],2,2,9,1,,2026-09-15T16:00:08
d01,without,t2-failing-tests,3,True,PASS t2,,False,1.01,0.5928,20,24,4132,403968,claude-haiku-4-5-20251001|claude-opus-5[1m],4,2,14,1,,2026-09-15T16:00:27
d01,with,t3-summary-feature,3,True,PASS t3,,False,1.07,0.5432,24,22,5199,347931,claude-haiku-4-5-20251001|claude-opus-5[1m],3,9,51,10,,2026-09-15T16:01:03
d01,without,t3-summary-feature,3,True,PASS t3,,False,1.03,0.503,24,20,4955,301292,claude-haiku-4-5-20251001|claude-opus-5[1m],2,9,54,10,,2026-09-15T16:01:15
