trick,side,task,run,passed,grade_reason,infra_error,timeout,duration_min,cost_usd,turns,input_tokens,output_tokens,cache_read_tokens,models,permission_denials,files_changed,insertions,deletions,extra,started_at
d06,without,t2-failing-tests,1,False,FAIL t2: hidden contract tests fail (see /private/tmp/100-tricks-runs/d06/without/t2-failing-tests/r1-logs/t2-hidden.log),,False,1.08,0.1152,11,89,5414,367496,claude-haiku-4-5-20251001,0,2,9,2,,2026-09-19T10:10:08
d06,with,t2-failing-tests,1,False,FAIL t2: hidden contract tests fail (see /private/tmp/100-tricks-runs/d06/with/t2-failing-tests/r1-logs/t2-hidden.log),,False,1.18,0.1434,14,97,7713,438092,claude-haiku-4-5-20251001,0,2,8,1,,2026-09-19T10:10:08
d06,without,t3-summary-feature,1,True,PASS t3,,False,2.35,0.272,38,305,12008,1478395,claude-haiku-4-5-20251001,2,13,73,10,,2026-09-19T10:10:08
d06,with,t3-summary-feature,1,True,PASS t3,,False,2.5,0.2932,39,305,12638,1612758,claude-haiku-4-5-20251001,1,9,81,10,,2026-09-19T10:10:08
d06,without,t1-flag-bug,1,True,PASS t1,,False,3.02,0.4034,50,401,15747,2383001,claude-haiku-4-5-20251001,10,2,17,4,,2026-09-19T10:10:08
d06,with,t1-flag-bug,2,True,PASS t1,,False,1.06,0.2054,27,217,7057,1120063,claude-haiku-4-5-20251001,8,2,8,4,,2026-09-19T10:12:41
d06,without,h2-eval-thresholds,1,False,FAIL h2: CLI: two passing thresholds (one exactly at its minimum) exit 2,,False,2.38,0.4055,44,353,18397,2140336,claude-haiku-4-5-20251001,7,7,210,3,,2026-09-19T10:11:32
d06,with,t1-flag-bug,1,True,PASS t1,,False,4.2,0.5123,52,417,23791,2888045,claude-haiku-4-5-20251001,12,9,10,2,,2026-09-19T10:10:08
d06,with,t2-failing-tests,2,False,FAIL t2: hidden contract tests fail (see /private/tmp/100-tricks-runs/d06/with/t2-failing-tests/r2-logs/t2-hidden.log),,False,1.34,0.1396,13,97,7472,433517,claude-haiku-4-5-20251001,0,2,4,2,,2026-09-19T10:13:19
d06,with,h2-eval-thresholds,1,True,PASS h2,,False,3.19,0.6827,75,601,21534,4427026,claude-haiku-4-5-20251001,13,8,274,4,,2026-09-19T10:11:28
d06,without,t2-failing-tests,2,False,FAIL t2: hidden contract tests fail (see /private/tmp/100-tricks-runs/d06/without/t2-failing-tests/r2-logs/t2-hidden.log),,False,1.19,0.1464,16,129,6211,588141,claude-haiku-4-5-20251001,0,2,9,2,,2026-09-19T10:13:53
d06,without,t1-flag-bug,2,True,PASS t1,,False,2.37,0.2337,16,129,18590,702591,claude-haiku-4-5-20251001,4,2,2,4,,2026-09-19T10:12:49
d06,with,t3-summary-feature,2,True,PASS t3,,False,1.7,0.2441,33,265,10677,1289428,claude-haiku-4-5-20251001,1,9,76,10,,2026-09-19T10:14:05
d06,without,t3-summary-feature,2,True,PASS t3,,False,1.54,0.2412,34,257,10487,1278020,claude-haiku-4-5-20251001,0,9,77,10,,2026-09-19T10:14:30
d06,with,t1-flag-bug,3,True,PASS t1,,False,1.84,0.182,16,129,10237,674909,claude-haiku-4-5-20251001,5,4,0,2,,2026-09-19T10:15:13
d06,with,t2-failing-tests,3,False,FAIL t2: hidden contract tests fail (see /private/tmp/100-tricks-runs/d06/with/t2-failing-tests/r3-logs/t2-hidden.log),,False,1.13,0.1494,15,97,7941,452864,claude-haiku-4-5-20251001,0,2,4,2,,2026-09-19T10:15:58
d06,without,t1-flag-bug,3,True,PASS t1,,False,1.76,0.2201,21,161,14501,837166,claude-haiku-4-5-20251001,3,2,10,6,,2026-09-19T10:15:21
d06,without,t2-failing-tests,3,False,FAIL t2: hidden contract tests fail (see /private/tmp/100-tricks-runs/d06/without/t2-failing-tests/r3-logs/t2-hidden.log),,False,0.98,0.1211,15,89,5511,396182,claude-haiku-4-5-20251001,0,2,9,2,,2026-09-19T10:16:11
d06,without,h2-eval-thresholds,2,True,PASS h2,,False,3.49,0.5849,62,497,19620,3669683,claude-haiku-4-5-20251001,10,5,227,5,,2026-09-19T10:14:54
d06,without,t3-summary-feature,3,True,PASS t3,,False,1.84,0.1718,27,177,8015,792104,claude-haiku-4-5-20251001,1,6,62,7,,2026-09-19T10:17:21
d06,with,h2-eval-thresholds,2,True,PASS h2,,False,4.81,0.6766,68,545,24951,4195001,claude-haiku-4-5-20251001,4,11,335,7,,2026-09-19T10:14:51
d06,with,t3-summary-feature,3,True,PASS t3,,False,2.66,0.344,45,337,14805,1944372,claude-haiku-4-5-20251001,3,9,75,10,,2026-09-19T10:17:18
d06,without,h2-eval-thresholds,3,False,FAIL h2: frai-core suite has new failures (see /private/tmp/100-tricks-runs/d06/without/h2-eval-thresholds/r3-logs/h2-suite.json),,False,2.79,0.4122,45,361,15334,2262171,claude-haiku-4-5-20251001,2,5,186,2,,2026-09-19T10:17:25
d06,with,h2-eval-thresholds,3,True,PASS h2,,False,4.77,0.8881,94,753,25228,6181062,claude-haiku-4-5-20251001,13,18,223,4,,2026-09-19T10:17:22
