trick,side,task,run,passed,grade_reason,infra_error,timeout,duration_min,cost_usd,turns,input_tokens,output_tokens,cache_read_tokens,models,permission_denials,files_changed,insertions,deletions,extra,started_at
pilot-haiku-core,without,t2-failing-tests,1,False,FAIL t2: hidden contract tests fail (see /private/tmp/100-tricks-runs/pilot-haiku-core/without/t2-failing-tests/r1-logs/t2-hidden.log),,False,0.88,0.1161,15,89,5507,358723,claude-haiku-4-5-20251001,0,2,9,2,,2026-09-15T19:12:35
pilot-haiku-core,with,t2-failing-tests,1,False,FAIL t2: hidden contract tests fail (see /private/tmp/100-tricks-runs/pilot-haiku-core/with/t2-failing-tests/r1-logs/t2-hidden.log),,False,1.26,0.1983,19,153,6415,660229,claude-haiku-4-5-20251001,0,2,9,2,,2026-09-15T19:12:35
pilot-haiku-core,with,t3-summary-feature,1,True,PASS t3,,False,1.56,0.2028,23,169,8260,722503,claude-haiku-4-5-20251001,0,9,69,10,,2026-09-15T19:12:35
pilot-haiku-core,without,t3-summary-feature,1,True,PASS t3,,False,1.77,0.3304,39,313,11560,1625391,claude-haiku-4-5-20251001,2,6,71,7,,2026-09-15T19:12:35
pilot-haiku-core,with,t1-flag-bug,1,True,PASS t1,,False,1.86,0.2714,33,265,7576,1328081,claude-haiku-4-5-20251001,7,8,6,2,,2026-09-15T19:12:35
pilot-haiku-core,without,t1-flag-bug,1,True,PASS t1,,False,2.1,0.3029,34,273,10981,1404455,claude-haiku-4-5-20251001,3,8,12,2,,2026-09-15T19:12:35
pilot-haiku-core,with,t1-flag-bug,2,True,PASS t1,,False,1.9,0.2112,23,185,10814,942816,claude-haiku-4-5-20251001,6,2,2,0,,2026-09-15T19:13:37
pilot-haiku-core,with,t2-failing-tests,2,True,PASS t2,,False,1.26,0.163,20,161,5929,704677,claude-haiku-4-5-20251001,0,2,9,1,,2026-09-15T19:14:18
pilot-haiku-core,without,t2-failing-tests,2,True,PASS t2,,False,1.23,0.1571,16,129,7930,605651,claude-haiku-4-5-20251001,4,2,14,1,,2026-09-15T19:14:31
pilot-haiku-core,without,t1-flag-bug,2,True,PASS t1,,False,1.77,0.2256,26,209,9406,1109932,claude-haiku-4-5-20251001,4,5,10,4,,2026-09-15T19:14:00
pilot-haiku-core,with,t3-summary-feature,2,True,PASS t3,,False,1.97,0.2481,34,249,12007,1266412,claude-haiku-4-5-20251001,1,9,74,8,,2026-09-15T19:14:35
pilot-haiku-core,without,t3-summary-feature,2,True,PASS t3,,False,2.21,0.2572,35,281,11553,1378406,claude-haiku-4-5-20251001,2,6,74,7,,2026-09-15T19:14:49
