trick,side,task,run,passed,grade_reason,infra_error,timeout,duration_min,cost_usd,turns,input_tokens,output_tokens,cache_read_tokens,models,permission_denials,files_changed,insertions,deletions,extra,started_at
pilot-hard,with,h2-eval-thresholds,1,False,FAIL h2: existing test files changed: packages/frai-core/src/eval/index.test.js,,False,4.2,1.7634,50,50,21706,1295450,claude-haiku-4-5-20251001|claude-opus-5[1m],6,9,226,11,,2026-09-15T16:42:52
pilot-hard,without,h1-draft-check,1,True,PASS h1,,False,4.95,1.9393,40,50,24421,1416298,claude-haiku-4-5-20251001|claude-opus-5[1m],11,3,250,49,,2026-09-15T16:42:52
pilot-hard,with,h1-draft-check,1,True,PASS h1,,False,5.48,2.0061,38,44,26815,1248050,claude-haiku-4-5-20251001|claude-opus-5[1m],7,3,273,30,,2026-09-15T16:42:52
pilot-hard,without,h2-eval-thresholds,1,True,PASS h2,,False,4.26,1.8444,51,62,21939,1540802,claude-haiku-4-5-20251001|claude-opus-5[1m],8,10,256,11,,2026-09-15T16:47:13
pilot-hard,with,h3-key-store,1,True,PASS h3,,False,4.48,1.728,39,50,23073,1266301,claude-haiku-4-5-20251001|claude-opus-5[1m],8,4,220,21,,2026-09-15T16:48:01
pilot-hard,without,h3-key-store,1,True,PASS h3,,False,4.21,1.5896,34,48,20776,1139971,claude-haiku-4-5-20251001|claude-opus-5[1m],7,4,247,25,,2026-09-15T16:48:31
pilot-hard,with,h1-draft-check,2,True,PASS h1,,False,4.98,1.8417,38,42,24793,1186355,claude-haiku-4-5-20251001|claude-opus-5[1m],6,3,236,44,,2026-09-15T16:52:54
pilot-hard,with,h4-scan-llm-sdks,1,True,PASS h4,,False,6.56,2.5382,53,58,32696,1932826,claude-haiku-4-5-20251001|claude-opus-5[1m],11,11,55,17,,2026-09-15T16:51:40
pilot-hard,without,h4-scan-llm-sdks,1,True,PASS h4,,False,5.81,2.0329,46,50,28947,1386715,claude-haiku-4-5-20251001|claude-opus-5[1m],6,9,69,11,,2026-09-15T16:52:41
pilot-hard,with,h2-eval-thresholds,2,True,PASS h2,,False,4.92,2.208,61,66,24899,1863238,claude-haiku-4-5-20251001|claude-opus-5[1m],7,9,264,12,,2026-09-15T16:58:23
pilot-hard,without,h1-draft-check,2,True,PASS h1,,False,5.34,1.9759,41,48,26464,1360273,claude-haiku-4-5-20251001|claude-opus-5[1m],9,3,171,28,,2026-09-15T16:58:03
pilot-hard,without,h2-eval-thresholds,2,True,PASS h2,,False,5.6,2.1811,61,72,25433,1892628,claude-haiku-4-5-20251001|claude-opus-5[1m],10,9,260,12,,2026-09-15T16:58:39
pilot-hard,without,h3-key-store,2,True,PASS h3,,False,3.67,1.3037,26,34,18950,775943,claude-haiku-4-5-20251001|claude-opus-5[1m],8,4,257,15,,2026-09-15T17:03:33
pilot-hard,with,h3-key-store,2,True,PASS h3,,False,4.22,1.5364,27,40,20890,978394,claude-haiku-4-5-20251001|claude-opus-5[1m],6,5,225,20,,2026-09-15T17:03:30
pilot-hard,with,h4-scan-llm-sdks,2,True,PASS h4,,False,6.66,2.7656,57,74,32568,2385254,claude-haiku-4-5-20251001|claude-opus-5[1m],13,9,243,17,,2026-09-15T17:04:25
pilot-hard,with,h1-draft-check,3,True,PASS h1,,False,5.58,2.2456,50,62,27409,1802929,claude-haiku-4-5-20251001|claude-opus-5[1m],8,4,231,48,,2026-09-15T17:07:53
pilot-hard,without,h4-scan-llm-sdks,2,True,PASS h4,,False,7.66,3.2454,67,82,38440,2820733,claude-haiku-4-5-20251001|claude-opus-5[1m],12,11,101,26,,2026-09-15T17:07:23
pilot-hard,without,h1-draft-check,3,True,PASS h1,,False,4.53,1.6139,34,36,22038,935436,claude-haiku-4-5-20251001|claude-opus-5[1m],4,3,238,34,,2026-09-15T17:11:17
pilot-hard,with,h2-eval-thresholds,3,True,PASS h2,,False,5.39,2.3522,67,82,27364,2153958,claude-haiku-4-5-20251001|claude-opus-5[1m],15,11,202,6,,2026-09-15T17:13:37
pilot-hard,without,h2-eval-thresholds,3,True,PASS h2,,False,4.74,2.267,70,66,24028,2017795,claude-haiku-4-5-20251001|claude-opus-5[1m],12,8,303,29,,2026-09-15T17:15:17
pilot-hard,with,h3-key-store,3,True,PASS h3,,False,6.08,2.233,50,60,29413,1757752,claude-haiku-4-5-20251001|claude-opus-5[1m],9,5,329,16,,2026-09-15T17:16:05
pilot-hard,without,h3-key-store,3,True,PASS h3,,False,3.93,1.5687,33,46,19393,1170662,claude-haiku-4-5-20251001|claude-opus-5[1m],9,4,245,14,,2026-09-15T17:19:15
pilot-hard,with,h4-scan-llm-sdks,3,True,PASS h4,,False,5.54,1.8252,42,42,27129,1114141,claude-haiku-4-5-20251001|claude-opus-5[1m],6,12,107,26,,2026-09-15T17:20:17
pilot-hard,without,h4-scan-llm-sdks,3,True,PASS h4,,False,6.04,2.7264,51,76,29438,2495020,claude-haiku-4-5-20251001|claude-opus-5[1m],12,9,309,19,,2026-09-15T17:22:27
